Name,Lat Dd,Sec Town,Long Dd,Longitude,Structures,Yr Confirm,Latitude,Status,Aprox Str1,Yr Range1,Aprox Str2,Yr Range2,latitude,longitude
,13.315833,,24.828333,0244942,~25 of ~50,,131857.0,DAMAGED,25.0,0.0,50.0,0.0,13.315833333142,24.8283333335167
DOLA,13.318056,,24.901111,0245404,~200 of ~200,2008/2009,131905.0,DESTROYED,200.0,2008.0,200.0,2009.0,13.3180555552199,24.9011111112889
LABABIS,13.270278,,24.806111,0244822,~100 of ~100,,131613.0,DESTROYED,100.0,0.0,100.0,0.0,13.2702777773977,24.8061111109392
SURRI,13.294444,,24.836944,0245013,~250 of ~300,2004,131740.0,DESTROYED,250.0,2004.0,300.0,2004.0,13.2944444448554,24.8369444446306
NANOREE,13.303611,,24.868333,0245206,~75 of ~100,2003/2004,131813.0,DESTROYED,75.0,2003.0,100.0,2004.0,13.3036111112639,24.8683333336166
NIJOU,13.342222,,24.8,0244800,~50 of ~200,2004,132032.0,DAMAGED,50.0,2004.0,200.0,2004.0,13.3422222217783,24.8000000000002
HUJAJ,13.329167,,24.820278,0244913,~200 of ~500,2004,131945.0,DAMAGED,200.0,2004.0,500.0,2004.0,13.3291666665086,24.8202777776975
TARNY,13.321111,,24.860556,0245138,~200 of ~300,2004,131916.0,DESTROYED,200.0,2004.0,300.0,2004.0,13.3211111106893,24.8605555558943
TARNY NORTH,13.327222,,24.853333,0245112,~250 of ~350,2004,131938.0,DESTROYED,250.0,2004.0,350.0,2004.0,13.3272222225277,24.8533333334667
DELMUJO,13.354444,,24.852778,0245110,,2004,132116.0,DESTROYED,0.0,2004.0,0.0,2004.0,13.3544444445556,24.8527777781721
,13.331389,,24.889167,0245321,~100 of ~100,2004,131953.0,DESTROYED,100.0,2004.0,100.0,2004.0,13.3313888885865,24.8891666666086
,13.3375,,24.885278,0245307,~300 of ~300,2004,132015.0,DESTROYED,300.0,2004.0,300.0,2004.0,13.3375000004248,24.8852777777474
KHAZAN TUNGUR,13.333056,,24.9,0245400,~600 of ~600,2004,131959.0,DESTROYED,600.0,2004.0,600.0,2004.0,13.3330555553698,24.8999999998003
KAJAN GESE,12.69,,22.524167,0223127,~200,,124124.0,NO DAMAGE,0.0,0.0,200.0,0.0,12.6900000001001,22.5241666666585
WEIGO,12.350833,,22.6975,0224151,,2003,122103.0,DESTROYED,0.0,2003.0,0.0,2003.0,12.350833333092,22.6975000004248
KHAYR WAJIH,10.853611,,24.646389,0243847,~50,,105113.0,NO DAMAGE,0.0,0.0,50.0,0.0,10.8536111107643,24.6463888886365
,10.765833,,24.710278,0244237,~50 of ~50,2007,104557.0,DESTROYED,50.0,2007.0,50.0,2007.0,10.7658333337415,24.7102777780971
TURMANA,10.796667,,24.695278,0244143,~50 of ~50,2007,104748.0,DESTROYED,50.0,2007.0,50.0,2007.0,10.7966666665336,24.6952777779472
SOLE,14.591667,,24.479167,0242845,~350,,143530.0,NO DAMAGE,0.0,0.0,350.0,0.0,14.5916666666835,24.4791666667085
,14.627778,,24.404722,0242417,~50 of ~50,2005/2006,143740.0,DESTROYED,50.0,2005.0,50.0,2006.0,14.6277777779223,24.404722222153
,14.573889,,24.381389,0242253,~10 of ~25,,143426.0,DAMAGED,10.0,0.0,25.0,0.0,14.5738888891611,24.3813888889862
,14.615833,,24.374167,0242227,~50 of ~50,2005/2006,143657.0,DESTROYED,50.0,2005.0,50.0,2006.0,14.6158333332419,24.3741666665586
,14.614444,,24.383056,0242259,~100 of ~100,2005/2006,143652.0,DESTROYED,100.0,2005.0,100.0,2006.0,14.6144444445557,24.3830555557694
DOR,14.581944,,24.413333,0242448,~200 of ~250,2003/2004,143455.0,DESTROYED,200.0,2003.0,250.0,2004.0,14.581944444081,24.4133333332669
UMDABOOK,12.469444,,22.417778,0222504,~200 of ~200,2004,122810.0,DESTROYED,200.0,2004.0,200.0,2004.0,12.4694444447055,22.4177777778224
TELEHAIA,12.473056,,22.4375,0222615,~200 of ~200,2004,122823.0,DESTROYED,200.0,2004.0,200.0,2004.0,12.4730555554697,22.437500000225
,12.456389,,22.397222,0222350,~75 of ~75,2004,122723.0,DESTROYED,75.0,2004.0,75.0,2004.0,12.4563888885365,22.3972222220281
ABU DAHIA,12.703056,,22.488889,0222920,~600,,124211.0,NO DAMAGE,0.0,0.0,600.0,0.0,12.7030555553698,22.4888888888113
,13.735833,,22.375833,0222233,~100,,134409.0,NO DAMAGE,0.0,0.0,100.0,0.0,13.7358333337415,22.3758333337415
CELILA,13.602222,,22.503333,0223012,~150,,133608.0,NO DAMAGE,0.0,0.0,150.0,0.0,13.6022222219781,22.5033333336666
KEYLIS,12.345,,22.743611,0224437,~75 of ~75,2004,122042.0,DESTROYED,75.0,2004.0,75.0,2004.0,12.34500000025,22.7436111114638
,14.523333,,22.583056,0223459,~10 of ~10,2003/2004,143124.0,DESTROYED,10.0,2003.0,10.0,2004.0,14.5233333330671,22.5830555557694
,14.521667,,22.569722,0223411,~25 of ~50,2003/2004,143118.0,DESTROYED,25.0,2003.0,50.0,2004.0,14.5216666662838,22.5697222224028
,14.539444,,22.565833,0223357,~10 of ~25,2003/2004,143222.0,DAMAGED,10.0,2003.0,25.0,2004.0,14.5394444447055,22.5658333335417
,14.633056,,22.56,0223336,~100 of ~100,,143759.0,DESTROYED,100.0,0.0,100.0,0.0,14.6330555554697,22.5599999998003
,14.6475,,22.592222,0223532,~10 of ~25,2003/2004,143851.0,DESTROYED,10.0,2003.0,25.0,2004.0,14.6475000003249,22.592222222178
,14.656667,,22.599167,0223557,~25 of ~50,2003/2004,143924.0,DAMAGED,25.0,2003.0,50.0,2004.0,14.6566666667334,22.5991666665086
,14.626111,,22.613889,0223650,~10 of ~25,2003/2004,143734.0,DESTROYED,10.0,2003.0,25.0,2004.0,14.626111111139,22.6138888885615
,14.630278,,22.620833,0223715,~25 of ~50,2003/2004,143749.0,DESTROYED,25.0,2003.0,50.0,2004.0,14.6302777780971,22.6208333328922
,14.63,,22.624722,0223729,~25 of ~75,2003/2004,143748.0,DAMAGED,25.0,2003.0,75.0,2004.0,14.6300000000002,22.6247222226526
,14.623889,,22.625556,0223732,~25 of ~25,2003/2004,143726.0,DESTROYED,25.0,2003.0,25.0,2004.0,14.6238888890612,22.6255555551449
,14.630278,,22.630556,0223750,~10 of ~25,2003/2004,143749.0,DAMAGED,10.0,2003.0,25.0,2004.0,14.6302777780971,22.6305555554947
,14.638056,,22.636667,0223812,~25 of ~50,2004,143817.0,DESTROYED,25.0,2004.0,50.0,2004.0,14.6380555558194,22.6366666664337
,14.618611,,22.632778,0223758,~75,,143707.0,NO DAMAGE,0.0,0.0,75.0,0.0,14.6186111115138,22.6327777775725
,13.942222,,22.600278,0223601,~75 of ~75,2006,135632.0,DESTROYED,75.0,2006.0,75.0,2006.0,13.9422222223778,22.6002777779972
,13.921389,,22.622222,0223720,~25 of ~25,2006,135517.0,DESTROYED,25.0,2006.0,25.0,2006.0,13.9213888884866,22.6222222224778
,13.847778,,22.636667,0223812,~25 of ~25,2007,135052.0,DESTROYED,25.0,2007.0,25.0,2007.0,13.8477777782221,22.6366666664337
,13.758889,,22.493611,0222937,~10 of ~75,2006,134532.0,DAMAGED,10.0,2006.0,75.0,2006.0,13.7588888888113,22.4936111110641
SHEEYO ED ATEEN,13.743889,,22.508056,0223029,~75 of ~100,2006,134438.0,DESTROYED,75.0,2006.0,100.0,2006.0,13.7438888886614,22.5080555559193
,13.891389,,22.470278,0222813,~25 of ~75,2006,135329.0,DAMAGED,25.0,2006.0,75.0,2006.0,13.8913888890861,22.4702777778973
RUNJU RUNJU,13.773611,,22.496944,0222949,~75 of ~150,2006,134625.0,DAMAGED,75.0,2006.0,150.0,2006.0,13.7736111108642,22.4969444446306
SIRBA,13.808056,1,22.503889,0223014,Secondary Town; ~400 of ~1200,2006,134829.0,DAMAGED,400.0,2006.0,1200.0,2006.0,13.8080555553198,22.5038888889612
BIR TAWIL,14.406111,,22.437222,0222614,~50 of ~50,2004,142422.0,DESTROYED,50.0,2004.0,50.0,2004.0,14.4061111110391,22.437222222128
,14.445278,,22.486667,0222912,~50 of ~50,,142643.0,DESTROYED,50.0,0.0,50.0,0.0,14.4452777777474,22.4866666667335
FALANKEI,14.456111,,22.505,0223018,~75 of ~75,2003/2004,142722.0,DESTROYED,75.0,2003.0,75.0,2004.0,14.4561111109392,22.5049999995505
,14.439722,,22.539444,0223222,~25 of ~50,,142623.0,DESTROYED,25.0,0.0,50.0,0.0,14.4397222221031,22.5394444440061
,14.444167,,22.453056,0222711,~10 of ~25,,142639.0,DESTROYED,10.0,0.0,25.0,0.0,14.4441666662588,22.4530555556696
,14.438611,,22.449167,0222657,~25 of ~25,2004/2005,142619.0,DESTROYED,25.0,2004.0,25.0,2005.0,14.4386111115138,22.4491666668084
ESBARA,14.440556,,22.466944,0222801,~100 of ~100,2003/2004,142626.0,DESTROYED,100.0,2003.0,100.0,2004.0,14.4405555554947,22.4669444443308
,13.694167,,22.817778,0224904,,,134139.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6941666668583,22.8177777779223
,13.699722,,22.805,0224818,,,134159.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6997222225027,22.8049999998503
DOLEIBA,13.676111,,22.798056,0224753,,,134034.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.676111111239,22.7980555555196
IDD EL KHALA,13.590833,,22.853611,0225113,,,133527.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.5908333334917,22.8536111110641
BIR QIRHAB,13.665,,22.798611,0224755,,,133954.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.6649999999502,22.7986111108142
KAGOLEI,13.631667,,22.759167,0224533,~100,,133754.0,NO DAMAGE,0.0,0.0,100.0,0.0,13.6316666669833,22.7591666669083
,13.644722,,22.763611,0224549,~50,,133841.0,NO DAMAGE,0.0,0.0,50.0,0.0,13.6447222222529,22.7636111110641
JERUF,13.764444,,22.828056,0224941,,,134552.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7644444444557,22.8280555558194
,13.765278,,22.818056,0224905,,,134555.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7652777778474,22.8180555551199
,13.761944,,22.809444,0224834,,,134543.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7619444442809,22.809444444006
KORNI,13.779722,,22.794444,0224740,,,134647.0,NO DAMAGE,0.0,0.0,0.0,0.0,13.7797222218032,22.7944444447555
KALAJU,11.944167,,25.698889,0254156,,2006,115639.0,DESTROYED,0.0,2006.0,0.0,2006.0,11.9441666667584,25.6988888885115
ANGABO,11.835,,26.031944,0260155,~1000 of ~1000,2006,115006.0,DESTROYED,1000.0,2006.0,1000.0,2006.0,11.8349999996504,26.0319444445806
KAMIRAH,11.796667,,26.059444,0260334,~50 of ~50,2007,114748.0,DESTROYED,50.0,2007.0,50.0,2007.0,11.7966666663337,26.0594444447055
ABUSHATTA,11.803889,,26.044444,0260240,~10 of ~10,2007,114814.0,DESTROYED,10.0,2007.0,10.0,2007.0,11.8038888887614,26.0444444445556
HILET ASIR,11.8225,,26.058889,0260332,~10 of ~10,,114921.0,DESTROYED,10.0,0.0,10.0,0.0,11.8224999996754,26.0588888885115
HILET BERGO,11.784167,,25.986389,0255911,~25,,114703.0,NO DAMAGE,0.0,0.0,25.0,0.0,11.7841666663587,25.9863888888363
,11.796389,,25.971944,0255819,~5 of ~10,2006,114747.0,DAMAGED,5.0,2006.0,10.0,2006.0,11.7963888891361,25.9719444448804
